judge,dataset,category,n,pearson_mean,pearson_lo,pearson_hi,width_mean,width_lo,width_hi,cpi_mean,cpi_lo,cpi_hi,rsg_mean,rsg_lo,rsg_hi
LLaVA-Critic,AesBench,Aesthetics/AI,392,0.4197245056169101,0.4026997042415609,0.4421278803796586,2.030724218913487,1.8554508083937122,2.206442572854611,0.4923189452716282,0.4483893567863472,0.5361372979015722,-0.07259443965471812,-0.11540818277904416,-0.03409802406720637
LLaVA-Critic,diffusiondb,Aesthetics/AI,299,0.08842412765314292,0.059798365045352894,0.11588004442968573,3.373673643906911,3.199823043177525,3.55317354799509,0.15658158902327218,0.11170661300122736,0.2000442392056187,-0.06749245719074194,-0.120778234947732,-0.010699856155898356
LLaVA-Critic,VisitBench,General VQA,397,0.3508736444019932,0.31996956423556827,0.3777149980188491,2.9374363808775668,2.794108934973053,3.0663810764889625,0.26564090478060837,0.23340473087775948,0.3014727662567367,0.08523273962138492,0.022309632322537586,0.14217502138509172
LLaVA-Critic,coco,General VQA,397,0.3752796319392708,0.34454785445087643,0.4080041428518893,2.5608713932372815,2.446342424106358,2.715860164307769,0.3597821516906795,0.3210349589230577,0.38841439397341043,0.015497480248591228,-0.0314077076581134,0.07817741787972642
LLaVA-Critic,llava_bench,General VQA,396,0.24538448254534276,0.2216400316999576,0.26922607924326913,2.978889281942387,2.6998025251398188,3.249819576263126,0.2552776795144033,0.18754510593421836,0.3250493687150455,-0.009893196969060509,-0.07722462618606656,0.06282435284883278
LLaVA-Critic,mm-vet,General VQA,258,0.2551124334768565,0.19747452822466213,0.3089007336585105,3.0741098135940788,2.7577337328823965,3.4079353503570995,0.23147254660148034,0.148016162410725,0.3105665667794009,0.023639886875376236,-0.08510885474912672,0.1284001629893303
LLaVA-Critic,Concept Caption,Knowledge/Web,398,0.36500596686507497,0.3200743755926834,0.4050528417650932,2.669792297617275,2.505684472485703,2.8584342254031845,0.3325519255956812,0.28539144364920394,0.3735788818785743,0.032454041269393684,-0.02095319617121762,0.08128695562277183
LLaVA-Critic,WIT,Knowledge/Web,399,0.14354845734648466,0.09520385000312348,0.19361152489077843,2.62484696495533,2.228884369517863,2.9339638328030704,0.34378825876116753,0.2665090417992324,0.44277890762053423,-0.20023980141468284,-0.31365907816370087,-0.11533623252561898
LLaVA-Critic,mind2web,Knowledge/Web,398,0.2786475428138493,0.25258139060140544,0.3073101614475095,2.6484867432009636,2.446360981769897,2.8519745346993655,0.3378783141997591,0.2870063663251586,0.38840975455752574,-0.05923077138590982,-0.11905374253707107,0.007702727836405789
LLaVA-Critic,ChartQA,Vision-Heavy,400,0.5003428541988193,0.4845587070438894,0.5188500073145689,3.002854565858841,2.8437913546785714,3.1489422901928426,0.24928635853528974,0.21276442745178936,0.28905216133035716,0.2510564956635295,0.2039858379132408,0.2941453269970191
LLaVA-Critic,ScienceQA,Vision-Heavy,396,0.2828641470086598,0.24375621988424856,0.3251384328377751,3.1590061688061915,2.9221008206648054,3.3643873229938923,0.21024845779845208,0.15890316925152687,0.26947479483379855,0.0726156892102077,-0.012468680409847688,0.1536904330694615
LLaVA-Critic,infographicsVQA,Vision-Heavy,398,0.4268511756200061,0.40603399473006263,0.44671394676788223,3.404941528466479,3.2213759958414574,3.5423630810038524,0.1487646178833803,0.11440922974903676,0.19465600103963557,0.2780865577366257,0.21925014029170578,0.32846430027284096
LLaVA-Critic,mathvista,Vision-Heavy,790,0.38271561757658157,0.3621982309146383,0.3969969509175815,3.3204968977578084,3.1974815571277957,3.4119358884880815,0.16987577556054806,0.14701602787797965,0.20062961071805105,0.2128398420160335,0.1676881989158477,0.24635719362059483
LLaVA-Critic,textVQA,Vision-Heavy,399,0.37861388852388245,0.34450197047989983,0.41083580025164435,2.8782239065170288,2.694540964984894,3.032760141617059,0.2804440233707427,0.24180996459573503,0.3263647587537765,0.09816986515313966,0.049359043425357074,0.14486959588049977
Phi-4,AesBench,Aesthetics/AI,392,0.38348530416496296,0.3634557778568415,0.4062116371247038,1.853373846411705,1.6399716969731513,2.013272082239997,0.5366565383970737,0.4966819794400007,0.5900070757567122,-0.15317123423211082,-0.2134084560447593,-0.0995781352574088
Phi-4,diffusiondb,Aesthetics/AI,299,0.2547662693802856,0.23343915710648128,0.27914321785271173,3.092954898357392,2.784734541223446,3.418680583061774,0.22676127541065214,0.14532985423455635,0.30381636469413836,0.028004993969633452,-0.06267139182089661,0.12227132138977966
Phi-4,VisitBench,General VQA,397,0.30343478809751634,0.2837052527357369,0.32467986787788633,2.8653856796235897,2.685181958049385,3.0661886607537316,0.2836535800941026,0.23345283481156706,0.3287045104876535,0.019781208003413726,-0.03592873323545686,0.08531383883620575
Phi-4,coco,General VQA,397,0.24001882991655482,0.17992228512956165,0.2969535191116158,2.690027335181308,2.4809709767151125,2.909405862864238,0.327493166204673,0.27264853428394054,0.379757255821222,-0.08747433628811814,-0.1749193454887817,4.441525880240793e-05
Phi-4,llava_bench,General VQA,396,0.15553823880004847,0.12711504343616195,0.1866271173553709,2.99896951980061,2.793275684300396,3.214374529853312,0.25025762004984753,0.19640636753667184,0.3016810789249008,-0.09471938124979903,-0.16583605528223128,-0.020082606423769748
Phi-4,mm-vet,General VQA,258,0.27851705117467873,0.24529676624977403,0.31197926771133333,2.3832787443501084,1.9722118671088253,2.7998755257212835,0.40418031391247294,0.30003111856967907,0.5069470332227936,-0.12566326273779432,-0.22741309911416346,-0.017459195300090626
Phi-4,Concept Caption,Knowledge/Web,398,0.29480336069569296,0.27145036617455576,0.31727745161587007,2.6639549178094724,2.4986589200652425,2.8158065877308194,0.334011270547632,0.29604835306729504,0.3753352699836894,-0.039207909851939046,-0.08951203262764573,-0.005187054272858318
Phi-4,WIT,Knowledge/Web,399,0.39897626347850335,0.36903931148577607,0.436923784954928,2.6008298580050466,2.326464252187312,2.8002552337557076,0.3497925354987383,0.299936191561073,0.41838393695317194,0.04918372797976507,-0.03580910618962638,0.11548751456623292
Phi-4,mind2web,Knowledge/Web,398,0.23148557841949785,0.20066420366095547,0.26332893156801024,2.843850847884039,2.6615175632376165,3.0325160154670328,0.2890372880289902,0.2418709961332418,0.3346206091905958,-0.05755170960949237,-0.10162736553906154,-0.009774978668677908
Phi-4,ChartQA,Vision-Heavy,400,0.2293693533782176,0.19146110059327767,0.26615000398397093,3.593780722498894,3.4376892489463096,3.7295982537820933,0.10155481937527658,0.06760043655447663,0.1405776877634227,0.12781453400294102,0.07522934619309588,0.17848838658255417
Phi-4,ScienceQA,Vision-Heavy,396,0.31129285712029553,0.28483947763454537,0.33561275111867545,3.364428117479941,3.196656265279861,3.5377318946234504,0.15889297063001478,0.11556702634413737,0.20083593368003463,0.15239988649028074,0.11065282320018172,0.1967444918607716
Phi-4,infographicsVQA,Vision-Heavy,398,0.15602697251953626,0.1251159852409116,0.18174073000576096,3.474236900902273,3.355574529403119,3.600519538316595,0.13144077477443156,0.09987011542085125,0.16110636764922032,0.024586197745104683,-0.019976948745156476,0.07222084798002289
Phi-4,mathvista,Vision-Heavy,790,0.3466227385418023,0.32802087757663884,0.36772000077703787,3.46283933594257,3.3391960767907434,3.584736468520346,0.13429016601435745,0.10381588286991361,0.16520098080231418,0.21233257252744484,0.18282616752417966,0.24257791212222934
Phi-4,textVQA,Vision-Heavy,399,0.2320094570521701,0.2102444571631427,0.2552357216660187,2.926868841171265,2.6988614002451294,3.162169757762551,0.2682827897071839,0.20945756055936215,0.3252846499387175,-0.03627333265501372,-0.09775205860743605,0.025426802586620813
