sample_id,gt_score,parsed_score,error,abs_error,orig_dataset
61,4.0,5,1.0,1.0,coco
62,4.0,5,1.0,1.0,coco
63,4.0,4,0.0,0.0,coco
64,4.0,4,0.0,0.0,coco
65,5.0,5,0.0,0.0,coco
66,2.0,3,1.0,1.0,coco
67,4.0,4,0.0,0.0,coco
68,3.0,4,1.0,1.0,coco
69,4.0,5,1.0,1.0,coco
70,4.0,4,0.0,0.0,coco
71,5.0,4,-1.0,1.0,coco
72,4.0,4,0.0,0.0,coco
73,4.0,5,1.0,1.0,coco
74,3.0,4,1.0,1.0,coco
75,4.0,4,0.0,0.0,coco
76,4.0,4,0.0,0.0,coco
77,5.0,5,0.0,0.0,coco
78,4.0,4,0.0,0.0,coco
79,4.0,4,0.0,0.0,coco
80,3.0,4,1.0,1.0,coco
81,5.0,5,0.0,0.0,coco
82,3.0,3,0.0,0.0,coco
83,4.0,5,1.0,1.0,coco
84,4.0,4,0.0,0.0,coco
85,5.0,4,-1.0,1.0,coco
86,4.0,3,-1.0,1.0,coco
87,3.0,3,0.0,0.0,coco
88,3.0,4,1.0,1.0,coco
89,4.0,5,1.0,1.0,coco
90,3.0,3,0.0,0.0,coco
91,1.0,4,3.0,3.0,coco
92,1.0,2,1.0,1.0,coco
93,4.0,3,-1.0,1.0,coco
94,4.0,3,-1.0,1.0,coco
95,4.0,4,0.0,0.0,coco
96,4.0,4,0.0,0.0,coco
97,5.0,5,0.0,0.0,coco
98,4.0,4,0.0,0.0,coco
99,4.0,5,1.0,1.0,coco
100,4.0,4,0.0,0.0,coco
101,5.0,5,0.0,0.0,coco
102,4.0,5,1.0,1.0,coco
103,3.0,3,0.0,0.0,coco
104,3.0,3,0.0,0.0,coco
105,5.0,5,0.0,0.0,coco
106,4.0,4,0.0,0.0,coco
107,3.0,4,1.0,1.0,coco
108,4.0,4,0.0,0.0,coco
109,5.0,5,0.0,0.0,coco
110,4.0,5,1.0,1.0,coco
111,2.0,2,0.0,0.0,coco
112,4.0,3,-1.0,1.0,coco
113,4.0,4,0.0,0.0,coco
114,3.0,3,0.0,0.0,coco
115,4.0,1,-3.0,3.0,coco
116,3.0,4,1.0,1.0,coco
117,5.0,5,0.0,0.0,coco
118,4.0,1,-3.0,3.0,coco
119,3.0,2,-1.0,1.0,coco
120,2.0,1,-1.0,1.0,coco
121,2.0,4,2.0,2.0,coco
122,3.0,4,1.0,1.0,coco
123,2.0,1,-1.0,1.0,coco
124,4.0,3,-1.0,1.0,coco
125,4.0,5,1.0,1.0,coco
126,5.0,3,-2.0,2.0,coco
127,3.0,5,2.0,2.0,coco
128,5.0,5,0.0,0.0,coco
129,5.0,5,0.0,0.0,coco
130,5.0,5,0.0,0.0,coco
131,4.0,5,1.0,1.0,coco
132,4.0,5,1.0,1.0,coco
133,4.0,5,1.0,1.0,coco
134,4.0,5,1.0,1.0,coco
135,3.0,2,-1.0,1.0,coco
136,4.0,3,-1.0,1.0,coco
137,5.0,3,-2.0,2.0,coco
138,3.0,3,0.0,0.0,coco
139,5.0,4,-1.0,1.0,coco
140,4.0,5,1.0,1.0,coco
141,4.0,4,0.0,0.0,coco
142,4.0,2,-2.0,2.0,coco
143,5.0,3,-2.0,2.0,coco
144,3.0,4,1.0,1.0,coco
145,4.0,3,-1.0,1.0,coco
146,4.0,4,0.0,0.0,coco
147,3.0,2,-1.0,1.0,coco
148,3.0,4,1.0,1.0,coco
149,4.0,5,1.0,1.0,coco
150,3.0,4,1.0,1.0,coco
151,4.0,2,-2.0,2.0,coco
152,3.0,1,-2.0,2.0,coco
153,4.0,4,0.0,0.0,coco
154,2.0,4,2.0,2.0,coco
155,3.0,3,0.0,0.0,coco
156,1.0,5,4.0,4.0,coco
157,5.0,4,-1.0,1.0,coco
158,4.0,2,-2.0,2.0,coco
159,4.0,5,1.0,1.0,coco
160,4.0,4,0.0,0.0,coco
161,5.0,4,-1.0,1.0,coco
162,3.0,5,2.0,2.0,coco
163,3.0,2,-1.0,1.0,coco
164,5.0,2,-3.0,3.0,coco
165,5.0,4,-1.0,1.0,coco
166,5.0,3,-2.0,2.0,coco
167,4.0,4,0.0,0.0,coco
168,3.0,4,1.0,1.0,coco
169,4.0,5,1.0,1.0,coco
170,4.0,3,-1.0,1.0,coco
171,3.0,1,-2.0,2.0,coco
172,3.0,5,2.0,2.0,coco
173,5.0,3,-2.0,2.0,coco
174,3.0,2,-1.0,1.0,coco
175,3.0,3,0.0,0.0,coco
176,4.0,3,-1.0,1.0,coco
177,4.0,4,0.0,0.0,coco
178,5.0,4,-1.0,1.0,coco
179,3.0,4,1.0,1.0,coco
180,3.0,4,1.0,1.0,coco
181,3.0,4,1.0,1.0,coco
182,5.0,3,-2.0,2.0,coco
183,3.0,2,-1.0,1.0,coco
184,2.0,2,0.0,0.0,coco
185,4.0,3,-1.0,1.0,coco
186,2.0,3,1.0,1.0,coco
187,5.0,3,-2.0,2.0,coco
188,5.0,4,-1.0,1.0,coco
189,4.0,5,1.0,1.0,coco
190,5.0,4,-1.0,1.0,coco
191,4.0,4,0.0,0.0,coco
192,4.0,4,0.0,0.0,coco
193,4.0,5,1.0,1.0,coco
194,3.0,4,1.0,1.0,coco
195,3.0,3,0.0,0.0,coco
196,4.0,3,-1.0,1.0,coco
197,5.0,4,-1.0,1.0,coco
198,5.0,3,-2.0,2.0,coco
199,4.0,4,0.0,0.0,coco
200,5.0,5,0.0,0.0,coco
201,4.0,5,1.0,1.0,coco
202,2.0,5,3.0,3.0,coco
203,3.0,3,0.0,0.0,coco
204,5.0,4,-1.0,1.0,coco
205,5.0,4,-1.0,1.0,coco
206,4.0,3,-1.0,1.0,coco
207,2.0,3,1.0,1.0,coco
208,4.0,3,-1.0,1.0,coco
209,5.0,5,0.0,0.0,coco
210,1.0,3,2.0,2.0,coco
211,4.0,4,0.0,0.0,coco
212,4.0,4,0.0,0.0,coco
213,5.0,5,0.0,0.0,coco
214,4.0,5,1.0,1.0,coco
215,3.0,2,-1.0,1.0,coco
216,3.0,4,1.0,1.0,coco
217,3.0,1,-2.0,2.0,coco
218,1.0,1,0.0,0.0,coco
219,4.0,4,0.0,0.0,coco
220,4.0,5,1.0,1.0,coco
221,4.0,5,1.0,1.0,coco
222,4.0,5,1.0,1.0,coco
223,3.0,3,0.0,0.0,coco
224,4.0,4,0.0,0.0,coco
225,3.0,4,1.0,1.0,coco
226,4.0,3,-1.0,1.0,coco
227,4.0,3,-1.0,1.0,coco
228,3.0,4,1.0,1.0,coco
229,4.0,5,1.0,1.0,coco
230,4.0,5,1.0,1.0,coco
231,1.0,4,3.0,3.0,coco
232,3.0,4,1.0,1.0,coco
233,4.0,5,1.0,1.0,coco
234,4.0,5,1.0,1.0,coco
235,2.0,1,-1.0,1.0,coco
236,4.0,3,-1.0,1.0,coco
237,5.0,3,-2.0,2.0,coco
238,3.0,4,1.0,1.0,coco
239,4.0,3,-1.0,1.0,coco
240,4.0,5,1.0,1.0,coco
241,4.0,4,0.0,0.0,coco
242,4.0,5,1.0,1.0,coco
243,4.0,4,0.0,0.0,coco
244,5.0,5,0.0,0.0,coco
245,5.0,4,-1.0,1.0,coco
246,5.0,3,-2.0,2.0,coco
247,5.0,4,-1.0,1.0,coco
248,4.0,5,1.0,1.0,coco
249,5.0,4,-1.0,1.0,coco
250,5.0,5,0.0,0.0,coco
251,5.0,3,-2.0,2.0,coco
252,4.0,5,1.0,1.0,coco
253,3.0,3,0.0,0.0,coco
254,4.0,5,1.0,1.0,coco
255,4.0,4,0.0,0.0,coco
256,5.0,5,0.0,0.0,coco
257,4.0,5,1.0,1.0,coco
258,4.0,4,0.0,0.0,coco
259,4.0,5,1.0,1.0,coco
260,4.0,4,0.0,0.0,coco
261,4.0,5,1.0,1.0,coco
262,3.0,4,1.0,1.0,coco
263,4.0,4,0.0,0.0,coco
264,5.0,5,0.0,0.0,coco
265,4.0,5,1.0,1.0,coco
266,5.0,4,-1.0,1.0,coco
267,1.0,4,3.0,3.0,coco
268,5.0,5,0.0,0.0,coco
269,4.0,5,1.0,1.0,coco
270,4.0,4,0.0,0.0,coco
271,4.0,5,1.0,1.0,coco
272,4.0,5,1.0,1.0,coco
273,3.0,3,0.0,0.0,coco
274,5.0,4,-1.0,1.0,coco
275,5.0,5,0.0,0.0,coco
276,5.0,5,0.0,0.0,coco
277,5.0,4,-1.0,1.0,coco
278,5.0,3,-2.0,2.0,coco
279,5.0,1,-4.0,4.0,coco
280,1.0,1,0.0,0.0,coco
281,4.0,3,-1.0,1.0,coco
282,3.0,4,1.0,1.0,coco
283,4.0,5,1.0,1.0,coco
284,4.0,2,-2.0,2.0,coco
285,4.0,5,1.0,1.0,coco
286,5.0,5,0.0,0.0,coco
287,1.0,1,0.0,0.0,coco
288,5.0,4,-1.0,1.0,coco
289,4.0,4,0.0,0.0,coco
290,4.0,2,-2.0,2.0,coco
291,5.0,4,-1.0,1.0,coco
292,2.0,1,-1.0,1.0,coco
293,3.0,4,1.0,1.0,coco
294,4.0,5,1.0,1.0,coco
295,5.0,5,0.0,0.0,coco
296,3.0,4,1.0,1.0,coco
297,3.0,4,1.0,1.0,coco
298,3.0,4,1.0,1.0,coco
299,1.0,2,1.0,1.0,coco
300,5.0,3,-2.0,2.0,coco
301,4.0,3,-1.0,1.0,coco
302,4.0,5,1.0,1.0,coco
303,5.0,4,-1.0,1.0,coco
304,4.0,4,0.0,0.0,coco
305,5.0,3,-2.0,2.0,coco
306,5.0,3,-2.0,2.0,coco
307,5.0,3,-2.0,2.0,coco
308,5.0,1,-4.0,4.0,coco
309,2.0,4,2.0,2.0,coco
310,4.0,4,0.0,0.0,coco
311,4.0,5,1.0,1.0,coco
312,3.0,4,1.0,1.0,coco
313,4.0,4,0.0,0.0,coco
314,4.0,4,0.0,0.0,coco
315,5.0,5,0.0,0.0,coco
316,4.0,4,0.0,0.0,coco
317,5.0,5,0.0,0.0,coco
318,2.0,4,2.0,2.0,coco
319,5.0,5,0.0,0.0,coco
320,2.0,4,2.0,2.0,coco
321,4.0,5,1.0,1.0,coco
322,3.0,4,1.0,1.0,coco
323,5.0,5,0.0,0.0,coco
324,2.0,3,1.0,1.0,coco
325,4.0,5,1.0,1.0,coco
326,3.0,4,1.0,1.0,coco
327,5.0,5,0.0,0.0,coco
328,4.0,3,-1.0,1.0,coco
329,5.0,4,-1.0,1.0,coco
330,4.0,3,-1.0,1.0,coco
331,4.0,5,1.0,1.0,coco
332,4.0,5,1.0,1.0,coco
333,2.0,5,3.0,3.0,coco
334,2.0,3,1.0,1.0,coco
335,4.0,5,1.0,1.0,coco
336,4.0,4,0.0,0.0,coco
337,3.0,2,-1.0,1.0,coco
338,4.0,3,-1.0,1.0,coco
339,4.0,5,1.0,1.0,coco
340,3.0,4,1.0,1.0,coco
341,4.0,2,-2.0,2.0,coco
342,4.0,4,0.0,0.0,coco
343,3.0,5,2.0,2.0,coco
344,3.0,3,0.0,0.0,coco
345,2.0,4,2.0,2.0,coco
346,2.0,2,0.0,0.0,coco
347,4.0,4,0.0,0.0,coco
348,3.0,1,-2.0,2.0,coco
349,5.0,4,-1.0,1.0,coco
350,4.0,3,-1.0,1.0,coco
351,5.0,5,0.0,0.0,coco
352,2.0,3,1.0,1.0,coco
353,4.0,5,1.0,1.0,coco
354,4.0,5,1.0,1.0,coco
355,4.0,5,1.0,1.0,coco
356,4.0,1,-3.0,3.0,coco
357,2.0,3,1.0,1.0,coco
358,5.0,5,0.0,0.0,coco
359,5.0,5,0.0,0.0,coco
360,3.0,4,1.0,1.0,coco
361,4.0,4,0.0,0.0,coco
362,4.0,5,1.0,1.0,coco
363,5.0,5,0.0,0.0,coco
364,4.0,3,-1.0,1.0,coco
365,3.0,3,0.0,0.0,coco
366,5.0,4,-1.0,1.0,coco
367,4.0,4,0.0,0.0,coco
368,3.0,3,0.0,0.0,coco
369,3.0,4,1.0,1.0,coco
370,1.0,4,3.0,3.0,coco
371,5.0,5,0.0,0.0,coco
372,3.0,4,1.0,1.0,coco
373,4.0,5,1.0,1.0,coco
374,3.0,4,1.0,1.0,coco
375,5.0,4,-1.0,1.0,coco
376,4.0,2,-2.0,2.0,coco
377,4.0,4,0.0,0.0,coco
378,4.0,4,0.0,0.0,coco
379,3.0,5,2.0,2.0,coco
380,4.0,3,-1.0,1.0,coco
381,5.0,4,-1.0,1.0,coco
382,5.0,4,-1.0,1.0,coco
383,4.0,4,0.0,0.0,coco
384,4.0,4,0.0,0.0,coco
385,3.0,4,1.0,1.0,coco
386,4.0,5,1.0,1.0,coco
387,4.0,5,1.0,1.0,coco
388,4.0,3,-1.0,1.0,coco
389,4.0,4,0.0,0.0,coco
390,4.0,4,0.0,0.0,coco
391,5.0,5,0.0,0.0,coco
392,5.0,4,-1.0,1.0,coco
393,4.0,4,0.0,0.0,coco
394,3.0,4,1.0,1.0,coco
395,1.0,5,4.0,4.0,coco
396,5.0,4,-1.0,1.0,coco
397,3.0,5,2.0,2.0,Concept Caption
398,4.0,5,1.0,1.0,Concept Caption
399,5.0,5,0.0,0.0,Concept Caption
400,4.0,4,0.0,0.0,Concept Caption
401,3.0,5,2.0,2.0,Concept Caption
402,4.0,5,1.0,1.0,Concept Caption
403,4.0,5,1.0,1.0,Concept Caption
404,4.0,5,1.0,1.0,Concept Caption
405,3.0,4,1.0,1.0,Concept Caption
406,4.0,4,0.0,0.0,Concept Caption
407,4.0,5,1.0,1.0,Concept Caption
408,5.0,4,-1.0,1.0,Concept Caption
409,4.0,4,0.0,0.0,Concept Caption
410,4.0,5,1.0,1.0,Concept Caption
411,4.0,5,1.0,1.0,Concept Caption
412,4.0,4,0.0,0.0,Concept Caption
413,3.0,3,0.0,0.0,Concept Caption
414,3.0,5,2.0,2.0,Concept Caption
415,5.0,5,0.0,0.0,Concept Caption
416,2.0,2,0.0,0.0,Concept Caption
417,4.0,3,-1.0,1.0,Concept Caption
418,4.0,4,0.0,0.0,Concept Caption
419,4.0,5,1.0,1.0,Concept Caption
420,5.0,3,-2.0,2.0,Concept Caption
421,2.0,1,-1.0,1.0,Concept Caption
422,3.0,5,2.0,2.0,Concept Caption
423,4.0,5,1.0,1.0,Concept Caption
424,4.0,4,0.0,0.0,Concept Caption
425,2.0,2,0.0,0.0,Concept Caption
426,2.0,3,1.0,1.0,Concept Caption
427,3.0,5,2.0,2.0,Concept Caption
428,4.0,2,-2.0,2.0,Concept Caption
429,3.0,4,1.0,1.0,Concept Caption
430,3.0,4,1.0,1.0,Concept Caption
431,5.0,5,0.0,0.0,Concept Caption
432,3.0,4,1.0,1.0,Concept Caption
433,4.0,4,0.0,0.0,Concept Caption
434,4.0,3,-1.0,1.0,Concept Caption
435,5.0,5,0.0,0.0,Concept Caption
436,4.0,5,1.0,1.0,Concept Caption
437,3.0,4,1.0,1.0,Concept Caption
438,4.0,5,1.0,1.0,Concept Caption
439,4.0,5,1.0,1.0,Concept Caption
440,4.0,4,0.0,0.0,Concept Caption
441,2.0,4,2.0,2.0,Concept Caption
442,3.0,4,1.0,1.0,Concept Caption
443,3.0,5,2.0,2.0,Concept Caption
444,2.0,3,1.0,1.0,Concept Caption
445,2.0,4,2.0,2.0,Concept Caption
446,3.0,3,0.0,0.0,Concept Caption
447,5.0,4,-1.0,1.0,Concept Caption
448,5.0,4,-1.0,1.0,Concept Caption
449,3.0,4,1.0,1.0,Concept Caption
450,3.0,4,1.0,1.0,Concept Caption
451,5.0,5,0.0,0.0,Concept Caption
452,4.0,2,-2.0,2.0,Concept Caption
453,3.0,3,0.0,0.0,Concept Caption
454,5.0,5,0.0,0.0,Concept Caption
455,5.0,5,0.0,0.0,Concept Caption
456,4.0,4,0.0,0.0,Concept Caption
457,4.0,5,1.0,1.0,Concept Caption
458,4.0,4,0.0,0.0,Concept Caption
459,4.0,5,1.0,1.0,Concept Caption
460,2.0,3,1.0,1.0,Concept Caption
461,4.0,5,1.0,1.0,Concept Caption
462,4.0,5,1.0,1.0,Concept Caption
463,4.0,5,1.0,1.0,Concept Caption
464,4.0,5,1.0,1.0,Concept Caption
465,2.0,3,1.0,1.0,Concept Caption
466,3.0,5,2.0,2.0,Concept Caption
467,4.0,4,0.0,0.0,Concept Caption
468,3.0,4,1.0,1.0,Concept Caption
469,4.0,4,0.0,0.0,Concept Caption
470,4.0,5,1.0,1.0,Concept Caption
471,5.0,5,0.0,0.0,Concept Caption
472,4.0,3,-1.0,1.0,Concept Caption
473,3.0,5,2.0,2.0,Concept Caption
474,3.0,4,1.0,1.0,Concept Caption
475,5.0,5,0.0,0.0,Concept Caption
476,4.0,4,0.0,0.0,Concept Caption
477,3.0,2,-1.0,1.0,Concept Caption
478,3.0,3,0.0,0.0,Concept Caption
479,5.0,3,-2.0,2.0,Concept Caption
480,4.0,5,1.0,1.0,Concept Caption
481,4.0,5,1.0,1.0,Concept Caption
482,3.0,5,2.0,2.0,Concept Caption
483,5.0,5,0.0,0.0,Concept Caption
484,3.0,4,1.0,1.0,Concept Caption
485,3.0,4,1.0,1.0,Concept Caption
486,3.0,5,2.0,2.0,Concept Caption
487,5.0,5,0.0,0.0,Concept Caption
488,3.0,4,1.0,1.0,Concept Caption
489,3.0,3,0.0,0.0,Concept Caption
490,3.0,5,2.0,2.0,Concept Caption
491,4.0,5,1.0,1.0,Concept Caption
492,4.0,4,0.0,0.0,Concept Caption
493,4.0,4,0.0,0.0,Concept Caption
494,5.0,5,0.0,0.0,Concept Caption
495,5.0,4,-1.0,1.0,Concept Caption
496,5.0,5,0.0,0.0,Concept Caption
497,3.0,2,-1.0,1.0,Concept Caption
498,2.0,3,1.0,1.0,Concept Caption
499,5.0,5,0.0,0.0,Concept Caption
500,2.0,3,1.0,1.0,Concept Caption
501,3.0,4,1.0,1.0,Concept Caption
502,5.0,5,0.0,0.0,Concept Caption
503,5.0,5,0.0,0.0,Concept Caption
504,5.0,4,-1.0,1.0,Concept Caption
505,3.0,3,0.0,0.0,Concept Caption
506,4.0,5,1.0,1.0,Concept Caption
507,4.0,4,0.0,0.0,Concept Caption
508,3.0,4,1.0,1.0,Concept Caption
509,3.0,4,1.0,1.0,Concept Caption
510,3.0,3,0.0,0.0,Concept Caption
511,4.0,5,1.0,1.0,Concept Caption
512,4.0,5,1.0,1.0,Concept Caption
513,3.0,4,1.0,1.0,Concept Caption
514,4.0,5,1.0,1.0,Concept Caption
515,5.0,5,0.0,0.0,Concept Caption
516,4.0,4,0.0,0.0,Concept Caption
517,3.0,4,1.0,1.0,Concept Caption
518,4.0,4,0.0,0.0,Concept Caption
519,4.0,5,1.0,1.0,Concept Caption
520,5.0,5,0.0,0.0,Concept Caption
521,1.0,5,4.0,4.0,Concept Caption
522,4.0,5,1.0,1.0,Concept Caption
523,4.0,5,1.0,1.0,Concept Caption
524,3.0,4,1.0,1.0,Concept Caption
525,3.0,4,1.0,1.0,Concept Caption
526,3.0,5,2.0,2.0,Concept Caption
527,4.0,5,1.0,1.0,Concept Caption
528,4.0,4,0.0,0.0,Concept Caption
529,3.0,5,2.0,2.0,Concept Caption
530,3.0,5,2.0,2.0,Concept Caption
531,4.0,5,1.0,1.0,Concept Caption
532,3.0,5,2.0,2.0,Concept Caption
533,2.0,5,3.0,3.0,Concept Caption
534,2.0,4,2.0,2.0,Concept Caption
535,4.0,3,-1.0,1.0,Concept Caption
536,3.0,2,-1.0,1.0,Concept Caption
537,3.0,4,1.0,1.0,Concept Caption
538,3.0,4,1.0,1.0,Concept Caption
539,5.0,5,0.0,0.0,Concept Caption
540,3.0,4,1.0,1.0,Concept Caption
541,1.0,5,4.0,4.0,Concept Caption
542,4.0,4,0.0,0.0,Concept Caption
543,3.0,5,2.0,2.0,Concept Caption
544,3.0,4,1.0,1.0,Concept Caption
545,4.0,4,0.0,0.0,Concept Caption
546,5.0,4,-1.0,1.0,Concept Caption
547,4.0,4,0.0,0.0,Concept Caption
548,4.0,4,0.0,0.0,Concept Caption
549,3.0,4,1.0,1.0,Concept Caption
550,5.0,5,0.0,0.0,Concept Caption
551,4.0,4,0.0,0.0,Concept Caption
552,4.0,4,0.0,0.0,Concept Caption
553,4.0,4,0.0,0.0,Concept Caption
554,5.0,4,-1.0,1.0,Concept Caption
555,3.0,4,1.0,1.0,Concept Caption
556,4.0,4,0.0,0.0,Concept Caption
557,4.0,5,1.0,1.0,Concept Caption
558,4.0,5,1.0,1.0,Concept Caption
559,4.0,4,0.0,0.0,Concept Caption
560,2.0,4,2.0,2.0,Concept Caption
561,4.0,4,0.0,0.0,Concept Caption
562,4.0,5,1.0,1.0,Concept Caption
563,2.0,3,1.0,1.0,Concept Caption
564,2.0,3,1.0,1.0,Concept Caption
565,3.0,4,1.0,1.0,Concept Caption
566,4.0,5,1.0,1.0,Concept Caption
567,4.0,4,0.0,0.0,Concept Caption
568,3.0,3,0.0,0.0,Concept Caption
569,1.0,1,0.0,0.0,Concept Caption
570,5.0,4,-1.0,1.0,Concept Caption
571,1.0,1,0.0,0.0,Concept Caption
572,3.0,4,1.0,1.0,Concept Caption
573,3.0,4,1.0,1.0,Concept Caption
574,4.0,5,1.0,1.0,Concept Caption
575,4.0,4,0.0,0.0,Concept Caption
576,5.0,4,-1.0,1.0,Concept Caption
577,4.0,4,0.0,0.0,Concept Caption
578,4.0,5,1.0,1.0,Concept Caption
579,5.0,4,-1.0,1.0,Concept Caption
580,4.0,5,1.0,1.0,Concept Caption
581,3.0,4,1.0,1.0,Concept Caption
582,5.0,4,-1.0,1.0,Concept Caption
583,5.0,2,-3.0,3.0,Concept Caption
584,3.0,4,1.0,1.0,Concept Caption
585,3.0,3,0.0,0.0,Concept Caption
586,5.0,5,0.0,0.0,Concept Caption
587,3.0,4,1.0,1.0,Concept Caption
588,3.0,3,0.0,0.0,Concept Caption
589,3.0,5,2.0,2.0,Concept Caption
590,3.0,5,2.0,2.0,Concept Caption
591,3.0,4,1.0,1.0,Concept Caption
592,3.0,5,2.0,2.0,Concept Caption
593,3.0,3,0.0,0.0,Concept Caption
594,4.0,4,0.0,0.0,Concept Caption
595,2.0,3,1.0,1.0,Concept Caption
596,2.0,3,1.0,1.0,Concept Caption
597,2.0,3,1.0,1.0,Concept Caption
598,4.0,5,1.0,1.0,Concept Caption
599,4.0,4,0.0,0.0,Concept Caption
600,4.0,5,1.0,1.0,Concept Caption
601,3.0,5,2.0,2.0,Concept Caption
602,4.0,4,0.0,0.0,Concept Caption
603,4.0,3,-1.0,1.0,Concept Caption
604,3.0,4,1.0,1.0,Concept Caption
605,3.0,4,1.0,1.0,Concept Caption
606,3.0,5,2.0,2.0,Concept Caption
607,3.0,3,0.0,0.0,Concept Caption
608,3.0,4,1.0,1.0,Concept Caption
609,4.0,4,0.0,0.0,Concept Caption
610,5.0,5,0.0,0.0,Concept Caption
611,3.0,4,1.0,1.0,Concept Caption
612,3.0,2,-1.0,1.0,Concept Caption
613,4.0,5,1.0,1.0,Concept Caption
614,4.0,5,1.0,1.0,Concept Caption
615,4.0,4,0.0,0.0,Concept Caption
616,3.0,5,2.0,2.0,Concept Caption
617,3.0,4,1.0,1.0,Concept Caption
618,4.0,4,0.0,0.0,Concept Caption
619,4.0,4,0.0,0.0,Concept Caption
620,4.0,4,0.0,0.0,Concept Caption
621,2.0,4,2.0,2.0,Concept Caption
622,2.0,5,3.0,3.0,Concept Caption
623,3.0,2,-1.0,1.0,Concept Caption
624,3.0,3,0.0,0.0,Concept Caption
625,3.0,4,1.0,1.0,Concept Caption
626,5.0,5,0.0,0.0,Concept Caption
627,3.0,3,0.0,0.0,Concept Caption
628,4.0,4,0.0,0.0,Concept Caption
629,3.0,4,1.0,1.0,Concept Caption
630,3.0,4,1.0,1.0,Concept Caption
631,4.0,4,0.0,0.0,Concept Caption
632,3.0,4,1.0,1.0,Concept Caption
633,4.0,4,0.0,0.0,Concept Caption
634,5.0,5,0.0,0.0,Concept Caption
635,3.0,4,1.0,1.0,Concept Caption
636,3.0,3,0.0,0.0,Concept Caption
637,3.0,4,1.0,1.0,Concept Caption
638,4.0,5,1.0,1.0,Concept Caption
639,4.0,4,0.0,0.0,Concept Caption
640,3.0,5,2.0,2.0,Concept Caption
641,4.0,5,1.0,1.0,Concept Caption
642,5.0,5,0.0,0.0,Concept Caption
643,4.0,5,1.0,1.0,Concept Caption
644,4.0,4,0.0,0.0,Concept Caption
645,3.0,4,1.0,1.0,Concept Caption
646,5.0,5,0.0,0.0,Concept Caption
647,2.0,4,2.0,2.0,Concept Caption
648,4.0,4,0.0,0.0,Concept Caption
649,3.0,4,1.0,1.0,Concept Caption
650,4.0,5,1.0,1.0,Concept Caption
651,4.0,5,1.0,1.0,Concept Caption
652,3.0,3,0.0,0.0,Concept Caption
653,3.0,4,1.0,1.0,Concept Caption
654,4.0,5,1.0,1.0,Concept Caption
655,4.0,3,-1.0,1.0,Concept Caption
656,4.0,4,0.0,0.0,Concept Caption
657,2.0,5,3.0,3.0,Concept Caption
658,4.0,5,1.0,1.0,Concept Caption
659,3.0,5,2.0,2.0,Concept Caption
660,3.0,2,-1.0,1.0,Concept Caption
661,4.0,5,1.0,1.0,Concept Caption
662,5.0,5,0.0,0.0,Concept Caption
663,2.0,4,2.0,2.0,Concept Caption
664,5.0,4,-1.0,1.0,Concept Caption
665,3.0,4,1.0,1.0,Concept Caption
666,5.0,5,0.0,0.0,Concept Caption
667,2.0,2,0.0,0.0,Concept Caption
